date,preregistered_top5_monthly,recommended_top12_quarterly,benchmark_gbp
2024-03-26,1503.6850174712906,1305.6022680990377,1286.7233369997439
2024-03-27,1496.5594744137466,1299.8936397577377,1286.2433067112129
2024-03-28,1502.2840846459292,1307.6454307039428,1293.4700263180398
2024-04-02,1512.0528190744003,1298.5068575944276,1283.1137051869498
2024-04-03,1535.3282468187174,1308.534048143003,1283.6106380353738
2024-04-04,1534.0323750223197,1310.5093150448567,1290.2818434915887
2024-04-05,1526.0503590268836,1302.331796620686,1276.816911730322
2024-04-08,1529.0945031461404,1306.7525202282281,1280.8236627723977
2024-04-09,1517.6042686549733,1296.1786372156091,1271.2203187428154
2024-04-10,1527.589479622715,1304.3006137937398,1277.7743308529964
2024-04-11,1529.5369841809977,1304.7817673089198,1274.185447474975
2024-04-12,1543.379162016654,1309.1689127856196,1272.6061061265175
2024-04-15,1522.0002866314064,1301.854103845938,1279.9981853600088
2024-04-16,1479.7280119577306,1276.5836739063109,1260.2857320816092
2024-04-17,1481.363012852876,1273.93460802142,1252.940683917707
2024-04-18,1485.5203230656177,1276.9701001012463,1260.2762734174066
2024-04-19,1469.838711049425,1265.0229380722963,1248.3191728291017
2024-04-22,1470.5710623447223,1268.9808362677784,1257.2875056696887
2024-04-23,1495.132330242007,1284.6583565907815,1267.583290325482
2024-04-24,1490.742507215332,1282.9584860368489,1266.2889762059187
2024-04-25,1465.5908916410315,1264.6139238907226,1248.3260171422799
2024-04-26,1504.6443448856942,1291.082370137978,1266.8197560713118
2024-04-29,1510.40805030642,1291.6476636583975,1265.9113981522798
2024-04-30,1493.849699700382,1284.927630501489,1266.7527545054368
2024-05-01,1492.7926708589832,1275.8755726791996,1247.552457091682
2024-05-02,1504.872600575582,1283.0498026072544,1253.488561273176
2024-05-03,1528.3179586595938,1298.2172165956465,1273.253439820381
2024-05-07,1564.1507599502352,1322.333103253147,1295.2216113394666
2024-05-08,1550.4227931900514,1318.0347520793414,1292.4925111711948
2024-05-09,1557.2625126043063,1321.8662718753367,1295.350376979041
2024-05-10,1554.9412353563007,1318.4465199014367,1299.571903764022
2024-05-13,1553.4573684623797,1318.3220517425718,1296.485613222557
2024-05-14,1553.5325033252643,1319.1074237656615,1296.044693501776
2024-05-15,1563.362928580083,1325.1674206377381,1301.3611300365237
2024-05-16,1574.2145342124045,1330.053411879415,1308.8194670917403
2024-05-17,1581.5232581466153,1330.290904305671,1303.7338959115289
2024-05-20,1594.2749342013585,1337.610385808795,1306.640824805382
2024-05-21,1591.0740611118063,1332.9555969961057,1302.041107211186
2024-05-22,1584.8904693100362,1329.9029362874576,1300.2685794410024
2024-05-23,1579.4461793466103,1328.7371924858849,1301.8593883231433
2024-05-24,1580.0337732512376,1328.835257551476,1301.0782832770276
2024-05-28,1576.7576183430929,1322.5536171770646,1294.1329853856867
2024-05-29,1574.6501108925327,1316.3379243528054,1287.5320029964964
2024-05-30,1556.4695058297652,1307.9886908231604,1284.6417502716574
2024-05-31,1525.9300307504595,1294.351932771406,1276.7238737223652
2024-06-03,1535.1226363443657,1302.4304046619268,1283.0943324657683
2024-06-04,1510.6596306254728,1285.4098591626894,1282.8149961836502
2024-06-05,1526.2757179394532,1305.4051598003298,1294.8420873804098
2024-06-06,1533.3635024694627,1311.6553411870445,1300.9327164966246
2024-06-07,1518.4309895479344,1311.0752706323544,1299.511912375233
2024-06-10,1513.1628722132223,1313.2342730960413,1303.4882471830401
2024-06-11,1488.3415818124042,1305.4841202967473,1298.6728540935321
2024-06-12,1504.4292637880533,1320.5185230163727,1312.900771534994
2024-06-13,1493.9537621610416,1320.5259484652793,1307.6773295648202
2024-06-14,1488.8310796760284,1322.8803757568835,1303.790791224268
2024-06-17,1497.302597512857,1329.3112746001707,1310.6590869550369
2024-06-18,1516.2348223496945,1342.0555366515946,1321.0333433276965
2024-06-19,1521.8601753777461,1344.178713632375,1321.9904313812233
2024-06-20,1530.790327900839,1350.1048551917343,1330.5033946362933
2024-06-21,1516.0973331396228,1343.5780375641193,1321.3670551767964
2024-06-24,1527.3504609327756,1345.3968633994714,1327.1825559884994
2024-06-25,1512.553289503973,1338.944145851852,1323.7364725496727
2024-06-26,1514.3774765792016,1344.4131407604455,1326.5938612684874
2024-06-27,1513.6073725112105,1348.9972517995955,1326.3036122292094
2024-06-28,1525.728665501343,1358.9756905562292,1333.2291225292934
2024-07-01,1522.5327971951012,1350.465957338676,1326.1729140083967
2024-07-02,1512.220066063004,1347.862557599527,1325.0263855167836
