Date,r_silver,r_gold,beta,w_3sil,w_3gos,r_under,r_letf
2013-03-21,0.01375811748016087,0.003919159457620447,1.5179424609109922,0.3971496630777654,0.6028503369222346,0.007809058928357899,0.009304095367055268
2013-03-22,-0.017581153338301236,-0.0047094419545772315,1.515210152604842,0.3975810923649318,0.6024189076350681,-0.010445359075622624,-0.012458631814289987
2013-03-25,0.004151241180525345,-0.0009961247880565516,1.5297463813344674,0.39529654331296626,0.6047034566870337,0.005675059470412418,0.006729994175248625
2013-03-26,-0.004898410575928547,-0.0054841872689167515,1.5275837458751766,0.39563476447889157,0.6043652355211084,0.00347914475540426,0.004129411847677004
2013-03-27,-0.002339039154118372,0.00651704601174008,1.5199082395550105,0.3968398469051355,0.6031601530948645,-0.012244351084921239,-0.014577139229978624
2013-03-28,-0.009973050031843678,-0.007097436614558861,1.490830354936536,0.4014725442935591,0.598527455706441,0.0006080239153786748,0.0007323147248952284
2013-04-01,-0.013396002846595811,0.0032605662231424137,1.5282848095773782,0.3955250596024257,0.6044749403975743,-0.018379076676045446,-0.02180815619319128
2013-04-02,-0.02493465590202193,-0.015562515258789045,1.4651331714976774,0.40565759755382946,0.5943424024461706,-0.0021334985644313395,-0.0025964097060952804
2013-04-03,-0.016313273036156817,-0.014157784968231613,1.4813095546984887,0.4030129969501178,0.5969870030498823,0.004658789110651311,0.005632657684926472
2013-04-04,-0.0009338335341274595,-0.0006439979189559741,1.450748178418788,0.40803865889036206,0.5919613411096378,4.45273703410156e-07,5.450666543357126e-07
2013-04-05,0.016935884403887602,0.015208129168290396,1.4521843065400404,0.40779968998780947,0.5922003100121905,-0.005149122106137549,-0.006299431195776802
2013-04-08,-0.002977808674442861,-0.002158197512614035,1.4326582578072722,0.41107294737789063,0.5889270526221093,0.00011415081398275092,0.00014077293464842457
2013-04-09,0.02750731414023977,0.009033047819258844,1.4317154539978125,0.41123232504690066,0.5887676749530995,0.014574559980705643,0.017980590562203285
2013-04-10,-0.008146102389155141,-0.01758914588487892,1.4628658087534976,0.40603105392336364,0.5939689460766363,0.017584457731011516,0.021419507715580332
2013-04-11,0.001664297806690529,0.003850349619453741,1.3737269346121268,0.4212784484258307,0.5787215515741694,-0.0036250311732266283,-0.004581442524456548
2013-04-12,-0.049232399808390226,-0.04046541382872515,1.3382652065873912,0.427667484929762,0.572332515070238,0.004921055588752915,0.006313726400524522
2013-04-15,-0.1127194325866182,-0.09353765783748336,1.290524098216615,0.4365813050290947,0.5634186949709054,0.007993168943394302,0.010469004385875336
2013-04-16,0.011432250207558337,0.019256264671697165,1.2318587868559276,0.44805702129959735,0.5519429787004025,-0.01228874863029519,-0.016518180320368718
2013-04-17,-0.013588991153703711,-0.0033170590526998556,1.2103951553615575,0.4524077957619431,0.5475922042380569,-0.00957403894626761,-0.012994109568659776
