date,close,ret,pos_streak_prior,neg_streak_prior,next_ret,next_sign
2023-09-07,119.82499694824219,-0.030424421767082266,0,1,-0.030424421767082266,-1
2023-09-08,122.8550033569336,0.02528693082295841,0,2,0.02528693082295841,1
2023-09-11,123.78500366210938,0.007569901752180419,1,0,0.007569901752180419,1
2023-09-12,122.62000274658203,-0.009411486699207883,2,0,-0.009411486699207883,-1
2023-09-13,123.80999755859375,0.009704736465151464,0,1,0.009704736465151464,1
2023-09-14,125.37000274658203,0.012599993689927924,1,0,0.012599993689927924,1
2023-09-15,120.0,-0.0428332346569118,2,0,-0.0428332346569118,-1
2023-09-18,119.98999786376953,-8.335113525392845e-05,0,1,-8.335113525392845e-05,-1
2023-09-19,116.91999816894531,-0.025585463367619465,0,2,-0.025585463367619465,-1
2023-09-20,117.78500366210938,0.007398268103923078,0,3,0.007398268103923078,1
2023-09-21,109.27999877929688,-0.07220787552217478,1,0,-0.07220787552217478,-1
2023-09-22,110.11000061035156,0.007595185215283351,0,1,0.007595185215283351,1
2023-09-25,107.91000366210938,-0.019979992153731474,1,0,-0.019979992153731474,-1
2023-09-26,104.19499969482422,-0.03442687277555545,0,1,-0.03442687277555545,-1
2023-09-27,104.44999694824219,0.002447307972213819,0,2,0.002447307972213819,1
2023-09-28,106.40499877929688,0.018717107593822613,1,0,0.018717107593822613,1
2023-09-29,109.11499786376953,0.025468719661316586,2,0,0.025468719661316586,1
2023-10-02,110.47000122070312,0.01241812201311987,3,0,0.01241812201311987,1
2023-10-03,104.31500244140625,-0.05571647244757494,4,0,-0.05571647244757494,-1
2023-10-04,106.53500366210938,0.021281706070515494,0,1,0.021281706070515494,1
2023-10-05,104.8550033569336,-0.015769467756382993,1,0,-0.015769467756382993,-1
2023-10-06,108.46499633789062,0.03442842845246363,0,1,0.03442842845246363,1
2023-10-09,110.57499694824219,0.01945328614384012,1,0,0.01945328614384012,1
2023-10-10,118.05000305175781,0.06760123273631669,2,0,0.06760123273631669,1
2023-10-11,116.98500061035156,-0.009021621464417207,3,0,-0.009021621464417207,-1
2023-10-12,119.45500183105469,0.021113828335395768,0,1,0.021113828335395768,1
2023-10-13,113.5250015258789,-0.04964212644324917,1,0,-0.04964212644324917,-1
2023-10-16,116.5999984741211,0.02708651756803726,0,1,0.02708651756803726,1
2023-10-17,115.13500213623047,-0.012564291226948687,1,0,-0.012564291226948687,-1
2023-10-18,112.81999969482422,-0.02010685194296591,0,1,-0.02010685194296591,-1
2023-10-19,111.58000183105469,-0.010990940144688044,0,2,-0.010990940144688044,-1
2023-10-20,102.96499633789062,-0.07720922523561347,0,3,-0.07720922523561347,-1
2023-10-23,104.4000015258789,0.01393682551378106,0,4,0.01393682551378106,1
2023-10-24,105.56999969482422,0.011206878849089774,1,0,0.011206878849089774,1
2023-10-25,102.19000244140625,-0.03201664547872196,2,0,-0.03201664547872196,-1
2023-10-26,94.29000091552734,-0.07730699028418764,0,1,-0.07730699028418764,-1
2023-10-27,96.82499694824219,0.02688509924807292,0,2,0.02688509924807292,1
2023-10-30,95.94499969482422,-0.009088533758367934,1,0,-0.009088533758367934,-1
2023-10-31,96.8949966430664,0.00990147429531385,0,1,0.00990147429531385,1
2023-11-01,101.00499725341797,0.042417057151997506,1,0,0.042417057151997506,1
2023-11-02,108.16500091552734,0.07088761800710897,2,0,0.07088761800710897,1
2023-11-03,113.5999984741211,0.05024728435807324,3,0,0.05024728435807324,1
2023-11-06,114.23999786376953,0.005633797519761785,4,0,0.005633797519761785,1
2023-11-07,117.97000122070312,0.03265059021956218,5,0,0.03265059021956218,1
2023-11-08,117.11000061035156,-0.007289994078601758,6,0,-0.007289994078601758,-1
2023-11-09,118.61499786376953,0.012851142050843256,0,1,0.012851142050843256,1
2023-11-10,119.1449966430664,0.004468227364515798,1,0,0.004468227364515798,1
2023-11-13,122.22000122070312,0.025808927477238397,2,0,0.025808927477238397,1
2023-11-14,129.0,0.05547372534429651,3,0,0.05547372534429651,1
