portfolio,policy,family,currency,cost_model,start,end,years,cagr,volatility,sharpe,sortino,max_drawdown,ulcer_index,time_underwater,terminal_wealth,trades_per_year,turnover_per_year,cost_drag_bps,total_cost,mean_abs_weight_deviation,max_abs_weight_deviation,mean_equity_weight,max_equity_weight,allocation_effect_bps,rebalancing_effect_bps,cost_effect_bps
60/20/20,Semi-annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.09130055332496423,0.1188068027717071,0.5111736342651786,0.5157733291615956,-0.29583965221554265,0.07174710106616598,0.9135901245856669,2076645.962119938,2.016230426334438,0.09929590653939231,1.7107992814935358,2150.738451529874,0.016150215045129947,0.13854189664676972,0.5985338358888604,0.6497876375326618,-0.13152321444165338,-8.266468484212641,6.889629408546316
60/20/20,Annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.09243513912252088,0.11818293982833587,0.5220518887396489,0.5265149053488577,-0.2879757978404983,0.06945986230610268,0.9130186307006515,2152932.010824228,1.008115213167219,0.07626852305511209,0.9824097945676513,1298.3288766935211,0.02249147361065081,0.17927740045636345,0.600017372414187,0.6856835850867102,0.4298290082127565,1.7896477817735956,7.618018895472201
60/20/20,Daily (constant mix),control,GBP,base,1991-11-01,2026-08-04,34.72,0.0719881134731859,0.12206834359160555,0.35441455520701237,0.35777259020781227,-0.3380547970083706,0.09055903345668843,0.9285632643730712,1117231.156964119,252.0,1.1497036775627416,215.48862488094844,162258.18319151306,0.0022811580904022652,0.039461387513385446,0.6000202199982867,0.6394613875133854,-0.09868186971573323,12.354117252733054,-206.8881961909086
60/20/20,Band 5pp (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.09407415813932296,0.12228964015339892,0.5208039807701123,0.5255224401173507,-0.2915783307369164,0.06956311234912933,0.9121042404846268,2267959.7188563882,0.9793119213624414,0.10150979893681272,1.0172917095285783,1600.6064180040462,0.023772920917480345,0.05906481366222066,0.6127795042790414,0.6542355717679326,2.916992915600325,15.727555957367745,7.583136980511274
60/20/20,Band 25% rel (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.09412173429971049,0.12238323121328173,0.5208577447597075,0.5255656010433712,-0.29781112800934395,0.07197945822557099,0.912332838038633,2271386.246723166,0.5760658360955537,0.07541026257355321,0.6712885446069627,1084.2833414233924,0.031001407184815057,0.0990523176033906,0.6194742003328387,0.6990523176033906,3.963030865015149,14.811276446906607,7.929140145432889
60/20/20,5/25 rule (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.09407415813932296,0.12228964015339892,0.5208039807701123,0.5255224401173507,-0.2915783307369164,0.06956311234912933,0.9121042404846268,2267959.7188563882,0.9793119213624414,0.10150979893681272,1.0172917095285783,1600.6064180040462,0.023772920917480345,0.05906481366222066,0.6127795042790414,0.6542355717679326,2.916992915600325,15.727555957367745,7.583136980511274
60/20/20,Band 5pp (monthly check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.0938232253620832,0.12132014531589906,0.5221085691474412,0.5273317778510602,-0.29492488364595826,0.07090617899951163,0.912332838038633,2249969.9537408464,0.7200822951194422,0.08362642386537765,0.7666734732381109,1341.273687719986,0.024074260144450025,0.09817065615173881,0.6129140363373907,0.669637044186896,2.948901813037974,12.935701051242088,7.833755216801741
60/20/20,5/25 rule (monthly check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.0938232253620832,0.12132014531589906,0.5221085691474412,0.5273317778510602,-0.29492488364595826,0.07090617899951163,0.912332838038633,2249969.9537408464,0.7200822951194422,0.08362642386537765,0.7666734732381109,1341.273687719986,0.024074260144450025,0.09817065615173881,0.6129140363373907,0.669637044186896,2.948901813037974,12.935701051242088,7.833755216801741
60/20/20,5/25 rule (annual check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.09424632241335296,0.11871624970257932,0.5342069678219724,0.5380963674634371,-0.2812027595500062,0.0672398044612099,0.9119899417076237,2280383.1656551016,0.43204937707166535,0.06445553942388732,0.5289384055284785,842.7992822552283,0.03334077096310361,0.17927740045636328,0.6056270436608321,0.7093188507791215,1.9191816455177424,17.958656663750183,8.071490284511373
60/20/20,Drawdown trigger -15%,opportunistic,GBP,base,1991-11-01,2026-08-04,34.72,0.09529464467641668,0.12431784140183477,0.5233279088939724,0.5246407865855868,-0.2970487842434434,0.07316816915335285,0.9131329294776546,2357469.3553203815,0.34563950165733226,0.05088081684168144,0.40749001778861427,635.2462577942727,0.058876874754999906,0.17795336406336568,0.649383128706928,0.7751130768557827,11.26459216700848,18.97502038515686,8.192938672251238
60/20/20,Drawdown trigger -20%,opportunistic,GBP,base,1991-11-01,2026-08-04,34.72,0.09543399620854665,0.1257316163411493,0.5198789294047379,0.5196070218848452,-0.3044470407800641,0.07743397919971765,0.9133615270316607,2367904.934225754,0.17281975082866613,0.03335384350867906,0.2816179618414516,364.06100169188755,0.08111818648940759,0.1861155586862663,0.6595053408902819,0.7861155586862664,13.805221209919338,17.70203460759845,8.3188107281984
40/30/30,Never (drift),calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08519389315234838,0.1125359437200504,0.48332215092939146,0.4879837475598852,-0.270050155143885,0.07270656692809771,0.9189621671048119,1709042.5966036702,0.0,0.0,0.0,0.0,0.1319136131414761,0.2673313547065397,0.524119492497521,0.6673313547065397,27.236795029312866,-41.55999191051585,9.378977982439363
40/30/30,Monthly,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08568831504222474,0.10299087363807045,0.5224861682044111,0.5371095272618486,-0.17798630973306773,0.050850414880418145,0.9226197279689108,1736284.7070380119,12.010972682592296,0.27792425729906656,9.378977982439363,9683.120462945451,0.00820993239035327,0.07026812478328937,0.4002652188370638,0.44489047529010795,0.0,0.0,-0.0
40/30/30,Quarterly,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08666445246301824,0.10267881642727376,0.5325242539325382,0.5471895343942481,-0.17059181753568242,0.0495796764319687,0.9222768316379015,1791312.523257846,4.003657560864099,0.16354197149828784,3.416733125480853,3816.863846796741,0.014088179506903482,0.09698041438778701,0.4011751577678088,0.46340427888853186,0.4136527307752047,3.3854766202012776,5.96224485695851
