symbol,signal_date,entry_price,target_price,stop_price,rsi,pullback_pct,distance_to_ma20,ma20,ma50,ma200,in_uptrend,trend_quality,confidence,outcome,exit_price,exit_date,days_to_exit,pnl_pct,hit_target,hit_stop,is_loss,loss_streak,tier
CSCO,2025-12-17,75.6,77.11,73.33,6.7,6.0,1.9,77.06,73.73,66.1,True,100,70,WIN,77.11,2025-12-17,1,1.9,True,False,False,13,Tier 1 (TQ 100 - Strong Uptrend)
CSCO,2026-01-02,76.04,77.56,73.76,1.8,3.4,1.96,77.56,75.36,66.96,True,30,55,LOSS,73.76,2026-01-08,5,-3.1,False,True,True,14,Tier 4 (TQ 30 - Downtrend)
CSCO,2026-01-05,75.58,77.09,73.31,0.9,4.0,2.45,77.48,75.46,67.04,True,40,55,LOSS,73.31,2026-01-12,6,-3.1,False,True,True,14,Tier 4 (TQ 40 - Downtrend)
PFE,2025-11-17,24.67,25.16,23.93,26.3,5.3,2.26,24.12,24.03,23.39,True,80,50,LOSS,23.93,2025-11-20,4,-3.1,False,True,True,14,Tier 2 (TQ 80 - Moderate Uptrend)
PFE,2025-12-02,24.74,25.23,23.99,13.2,3.2,0.36,24.65,24.32,23.43,True,70,85,WIN,25.23,2025-12-03,2,1.9,True,False,False,15,Tier 3 (TQ 70 - Weak Uptrend)
PFE,2025-12-09,24.91,25.41,24.17,17.9,3.3,0.33,25.0,24.54,23.45,True,80,85,WIN,25.41,2025-12-09,1,1.9,True,False,False,15,Tier 2 (TQ 80 - Moderate Uptrend)
PFE,2025-12-16,25.11,25.61,24.36,26.9,4.2,0.05,25.1,24.5,23.47,True,70,75,WIN,25.61,2025-12-16,1,1.9,True,False,False,15,Tier 3 (TQ 70 - Weak Uptrend)
QCOM,2025-12-16,176.12,179.64,170.84,18.7,4.0,3.06,170.89,170.45,156.6,True,80,70,EXPIRE,173.65,2025-12-30,10,-1.5,False,False,True,16,Tier 2 (TQ 80 - Moderate Uptrend)
QCOM,2025-12-29,173.43,176.9,168.23,9.5,3.8,0.97,175.13,172.4,157.47,True,70,85,WIN,176.9,2026-01-05,5,1.9,True,False,False,17,Tier 3 (TQ 70 - Weak Uptrend)
QCOM,2025-12-30,173.65,177.12,168.44,28.6,3.1,1.03,175.45,172.62,157.57,True,70,60,WIN,177.12,2026-01-05,4,1.9,True,False,False,17,Tier 3 (TQ 70 - Weak Uptrend)
QCOM,2026-01-09,177.78,181.34,172.45,28.5,3.6,0.87,176.25,173.34,158.33,True,70,70,LOSS,172.45,2026-01-12,2,-3.1,False,True,True,18,Tier 3 (TQ 70 - Weak Uptrend)
AVGO,2025-12-02,380.84,388.46,369.42,25.9,5.3,5.7,360.3,352.11,271.79,True,70,45,WIN,388.46,2025-12-02,1,1.9,True,False,False,19,Tier 3 (TQ 70 - Weak Uptrend)
AVGO,2025-12-03,379.88,387.48,368.49,23.4,5.6,5.02,361.73,352.94,272.55,True,70,45,WIN,387.48,2025-12-05,3,1.9,True,False,False,19,Tier 3 (TQ 70 - Weak Uptrend)
AVGO,2025-12-04,380.3,387.91,368.89,29.4,5.5,4.82,362.83,353.78,273.32,True,70,45,WIN,387.91,2025-12-05,2,1.9,True,False,False,19,Tier 3 (TQ 70 - Weak Uptrend)
PLTR,2025-12-12,183.57,187.24,178.06,29.8,3.6,6.57,172.25,179.46,144.41,True,70,55,LOSS,178.06,2025-12-12,1,-3.1,False,True,True,20,Tier 3 (TQ 70 - Weak Uptrend)
PLTR,2025-12-15,183.25,186.92,177.75,26.9,3.8,6.1,172.71,179.66,144.9,True,60,50,WIN,186.92,2025-12-15,1,1.9,True,False,False,21,Tier 3 (TQ 60 - Weak Uptrend)
PLTR,2025-12-26,188.71,192.48,183.05,14.0,5.1,3.03,183.15,181.11,149.17,True,60,55,WIN,192.48,2025-12-26,1,1.9,True,False,False,21,Tier 3 (TQ 60 - Weak Uptrend)
SHOP,2025-12-15,159.85,163.05,155.05,17.6,5.6,2.65,155.72,159.61,127.11,True,60,45,WIN,163.05,2025-12-15,1,1.9,True,False,False,21,Tier 3 (TQ 60 - Weak Uptrend)
SHOP,2025-12-30,163.74,167.01,158.83,7.2,5.3,0.4,164.4,161.37,130.54,True,70,80,WIN,167.01,2025-12-30,1,1.9,True,False,False,21,Tier 3 (TQ 70 - Weak Uptrend)
SHOP,2026-01-09,164.48,167.77,159.55,26.7,3.9,0.72,165.67,160.75,132.72,True,40,55,WIN,167.77,2026-01-09,1,1.9,True,False,False,21,Tier 4 (TQ 40 - Downtrend)
MU,2025-12-03,234.07,238.75,227.04,29.3,4.2,0.26,233.47,211.06,132.28,True,70,75,LOSS,227.04,2025-12-04,2,-3.1,False,True,True,22,Tier 3 (TQ 70 - Weak Uptrend)
MU,2025-12-31,285.41,291.12,276.85,29.3,4.5,10.5,258.28,239.91,147.94,True,80,60,WIN,291.12,2025-12-31,1,1.9,True,False,False,23,Tier 2 (TQ 80 - Moderate Uptrend)
MU,2026-01-14,333.35,340.02,323.35,24.2,5.1,11.7,298.42,261.07,158.63,True,100,60,WIN,340.02,2026-01-15,2,1.9,True,False,False,23,Tier 1 (TQ 100 - Strong Uptrend)
KLAC,2025-12-12,1193.92,1217.8,1158.1,13.6,4.8,1.68,1174.2,1156.79,906.88,True,60,65,WIN,1217.8,2025-12-12,1,1.9,True,False,False,23,Tier 3 (TQ 60 - Weak Uptrend)
KLAC,2025-12-30,1243.65,1268.52,1206.34,11.0,3.4,0.96,1231.85,1195.49,937.35,True,40,65,WIN,1268.52,2026-01-02,3,1.9,True,False,False,23,Tier 4 (TQ 40 - Downtrend)
KLAC,2025-12-31,1215.08,1239.38,1178.63,3.8,5.6,1.46,1233.11,1196.78,939.86,True,40,50,WIN,1239.38,2025-12-31,1,1.9,True,False,False,23,Tier 4 (TQ 40 - Downtrend)
AMAT,2025-12-31,256.99,262.13,249.28,11.4,3.0,2.03,262.3,244.91,190.8,True,40,50,WIN,262.13,2026-01-02,2,1.9,True,False,False,23,Tier 4 (TQ 40 - Downtrend)
LRCX,2025-12-12,160.52,163.73,155.7,15.9,5.4,3.73,154.75,152.15,106.05,True,60,50,WIN,163.73,2025-12-12,1,1.9,True,False,False,23,Tier 3 (TQ 60 - Weak Uptrend)
LRCX,2025-12-30,173.78,177.26,168.57,18.8,3.3,4.23,166.72,158.61,111.24,True,60,55,WIN,177.26,2025-12-30,1,1.9,True,False,False,23,Tier 3 (TQ 60 - Weak Uptrend)
LRCX,2025-12-31,171.18,174.6,166.04,8.1,4.8,2.27,167.39,159.15,111.71,True,60,60,WIN,174.6,2025-12-31,1,1.9,True,False,False,23,Tier 3 (TQ 60 - Weak Uptrend)
XOM,2025-11-24,115.97,118.29,112.49,9.3,3.2,0.01,115.95,113.91,108.76,True,80,90,WIN,118.29,2025-11-28,4,1.9,True,False,False,23,Tier 2 (TQ 80 - Moderate Uptrend)
XOM,2025-11-25,114.51,116.8,111.07,3.3,4.2,1.27,115.98,113.93,108.8,True,80,85,WIN,116.8,2025-11-28,3,1.9,True,False,False,23,Tier 2 (TQ 80 - Moderate Uptrend)
XOM,2025-11-26,114.77,117.07,111.33,21.4,4.0,1.01,115.94,113.94,108.84,True,70,70,WIN,117.07,2025-11-28,2,1.9,True,False,False,23,Tier 3 (TQ 70 - Weak Uptrend)
XOM,2026-01-07,118.49,120.86,114.94,17.5,5.9,0.62,119.23,117.26,110.33,True,80,70,WIN,120.86,2026-01-08,2,1.9,True,False,False,23,Tier 2 (TQ 80 - Moderate Uptrend)
SLB,2025-12-15,38.9,39.68,37.73,24.6,4.8,4.89,37.09,35.71,35.15,True,100,65,LOSS,37.73,2025-12-16,2,-3.1,False,True,True,24,Tier 1 (TQ 100 - Strong Uptrend)
