Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Shares,Position Value,Risk Amount,Gross P&L,Slippage,Net P&L,Return %,Exit Reason,Hold Days,Cumulative P&L,Account Balance,YearMonth
MSFT,2023-06-23,2023-06-26,328.733642578125,323.8026379394531,11,3616.070068359375,100.7021203048706,-54.241051025390675,1.1,-55.341051025390676,-1.5000000000000013,Trailing Stop,3,1250.5171085357663,11250.517108535767,2023-06
GOOGL,2023-06-23,2023-06-26,121.42255401611328,119.60121570587158,25,3035.563850402832,101.9195410217285,-45.533457756042495,2.5,-48.033457756042495,-1.5000000000000013,Trailing Stop,3,1202.4836507797238,11202.483650779724,2023-06
NVDA,2023-06-26,2023-06-27,40.60246276855469,41.84555435180664,50,2030.1231384277344,103.16580909347535,62.154579162597656,5.0,57.154579162597656,3.0616162136221092,Profit Target,1,1259.6382299423215,11259.638229942322,2023-06
NVDA,2023-06-28,2023-07-03,41.08710861206055,42.382164001464844,51,2095.442539215088,103.69163122177125,66.04782485961914,5.1000000000000005,60.94782485961914,3.151974994473461,Profit Target,5,1320.5860548019407,11320.586054801941,2023-06
AMZN,2023-06-29,2023-07-06,127.9000015258789,128.42430480957032,23,2941.700035095215,100.99179849243164,12.058975524902422,2.3000000000000003,9.758975524902421,0.4099321950244983,Trailing Stop,7,1330.345030326843,11330.345030326844,2023-06
MSFT,2023-07-10,2023-07-13,325.6034851074219,336.23028564453125,12,3907.2418212890625,100.24932988739015,127.5216064453125,1.2000000000000002,126.3216064453125,3.2637244449651437,Profit Target,3,1456.6666367721555,11456.666636772155,2023-07
AMZN,2023-07-10,2023-07-13,127.12999725341797,134.3000030517578,24,3051.1199340820312,101.08090218200685,172.08013916015625,2.4000000000000004,169.68013916015624,5.639900852076107,Profit Target,3,1626.3467759323116,11626.346775932312,2023-07
AAPL,2023-07-10,2023-07-19,186.3479766845703,192.76014709472656,28,5217.743347167969,104.6145421142578,179.540771484375,2.8000000000000003,176.740771484375,3.44096594137433,Profit Target,9,1803.0875474166867,11803.087547416686,2023-07
AMZN,2023-07-20,2023-08-02,129.9600067138672,131.67479278564454,25,3249.0001678466797,102.6363034576416,42.86965179443385,2.5,40.36965179443385,1.3194721323405156,Trailing Stop,13,1843.4571992111205,11843.45719921112,2023-07
META,2023-07-21,2023-07-27,292.2187805175781,309.5477294921875,8,2337.750244140625,101.14842386779785,138.631591796875,0.8,137.831591796875,5.930128427719916,Profit Target,6,1981.2887910079955,11981.288791007995,2023-07
MSFT,2023-07-26,2023-07-27,331.4320373535156,326.4605567932129,8,2651.456298828125,101.30200994110108,-39.771844482421784,0.8,-40.57184448242178,-1.5000000000000013,Trailing Stop,1,1940.7169465255738,11940.716946525574,2023-07
NVDA,2023-08-02,2023-08-08,44.23681640625,44.70322761535645,48,2123.3671875,104.25330725479125,22.387738037109443,4.800000000000001,17.587738037109443,1.0543507580273115,Trailing Stop,6,1958.3046845626832,11958.304684562683,2023-08
META,2023-08-04,2023-08-09,308.57452392578125,309.6485234069824,7,2160.0216674804688,102.3544502960205,7.517996368408092,0.7000000000000001,6.8179963684080915,0.348051896033863,Trailing Stop,5,1965.1226809310913,11965.122680931092,2023-08
META,2023-08-10,2023-08-16,303.6191101074219,299.50498931884766,7,2125.333770751953,102.41289026489255,-28.798845520019484,0.7000000000000001,-29.498845520019483,-1.35502695700499,Trailing Stop,6,1935.6238354110717,11935.623835411072,2023-08
GOOGL,2023-08-15,2023-08-18,128.8067626953125,127.01153861999512,28,3606.58935546875,101.49684659347533,-50.26627410888659,2.8000000000000003,-53.06627410888659,-1.3937343333159546,Trailing Stop,3,1882.5575613021851,11882.557561302185,2023-08
AMZN,2023-08-16,2023-08-24,135.07000732421875,133.487204208374,19,2566.3301391601562,102.99155639343262,-30.073259201050064,1.9000000000000001,-31.973259201050062,-1.1718390686434321,Trailing Stop,8,1850.584302101135,11850.584302101135,2023-08
GOOGL,2023-08-21,2023-08-23,127.40734100341797,131.37733459472656,29,3694.812889099121,101.04199281539915,115.12981414794922,2.9000000000000004,112.22981414794921,3.1159849660484573,Profit Target,2,1962.8141162490842,11962.814116249085,2023-08
NVDA,2023-09-07,2023-09-11,46.2111930847168,45.518025188446046,37,1709.8141441345215,104.40719996261596,-25.64721216201778,3.7,-29.34721216201778,-1.5000000000000013,Trailing Stop,4,1933.4669040870665,11933.466904087067,2023-09
AMZN,2023-09-18,2023-09-19,139.97999572753906,137.88029579162597,24,3359.5198974609375,102.72230789489745,-50.39279846191425,2.4000000000000004,-52.79279846191425,-1.5000000000000013,Trailing Stop,1,1880.6741056251522,11880.674105625152,2023-09
GOOGL,2023-09-20,2023-09-21,132.73707580566406,130.7460196685791,33,4380.323501586914,101.97079127731323,-65.70485252380394,3.3000000000000003,-69.00485252380393,-1.5000000000000013,Trailing Stop,1,1811.6692531013482,11811.669253101349,2023-09
TSLA,2023-10-13,2023-10-18,251.1199951171875,251.0272560119629,8,2008.9599609375,100.0,-0.741912841796875,0.8,-1.541912841796875,-0.036930195535134214,Trailing Stop,5,1810.1273402595514,11810.12734025955,2023-10
META,2023-10-19,2023-10-25,310.64007568359375,297.6646538114646,9,2795.7606811523438,102.1600430175781,-116.77879684916257,0.9,-117.67879684916258,-4.176995464469768,Stop Loss,6,1692.4485434103888,11692.448543410388,2023-10
GOOGL,2023-10-23,2023-10-25,135.47637939453125,131.05797451050628,26,3522.3858642578125,101.38529555892943,-114.87852698464911,2.6,-117.47852698464911,-3.261383942921725,Stop Loss,2,1574.9700164257397,11574.97001642574,2023-10
MSFT,2023-10-23,2023-10-25,323.8247985839844,334.9853820800781,11,3562.072784423828,100.94700630187988,122.76641845703125,1.1,121.66641845703126,3.4464882074802583,Profit Target,2,1696.636434882771,11696.63643488277,2023-10
NVDA,2023-11-28,2023-11-30,47.790164947509766,47.38733232498169,60,2867.409896850586,104.15338623580932,-24.169957351684417,6.0,-30.169957351684417,-0.8429195064937001,Trailing Stop,2,1666.4664775310866,11666.466477531087,2023-11
META,2023-11-30,2023-12-04,324.8806457519531,320.0074360656738,10,3248.8064575195312,101.24476348652907,-48.73209686279324,1.0,-49.73209686279324,-1.5000000000000124,Trailing Stop,4,1616.7343806682934,11616.734380668293,2023-11
AMZN,2023-12-04,2023-12-06,144.83999633789062,144.6768048095703,24,3476.159912109375,102.26037090835571,-3.9165966796874727,2.4000000000000004,-6.316596679687473,-0.11267021019498724,Trailing Stop,2,1610.4177839886058,11610.417783988605,2023-12
MSFT,2023-12-04,2023-12-14,363.717041015625,363.3468048095703,11,4000.887451171875,102.05306465148927,-4.0725982666016876,1.1,-5.172598266601687,-0.10179237272492925,Trailing Stop,10,1605.2451857220042,11605.245185722004,2023-12
AAPL,2023-12-20,2024-01-02,193.0072784423828,188.62686473588607,26,5018.189239501953,106.19258471679687,-113.89075636891522,2.6,-116.49075636891521,-2.2695588175988934,Stop Loss,13,1488.7544293530889,11488.754429353088,2023-12
AMZN,2023-12-29,2024-01-03,151.94000244140625,149.66090240478516,28,4254.320068359375,102.20510068740845,-63.814801025390466,2.8000000000000003,-66.61480102539046,-1.5000000000000013,Trailing Stop,5,1422.1396283276983,11422.139628327699,2023-12
GOOGL,2024-01-02,2024-01-04,137.13385009765625,135.81006134033203,30,4114.0155029296875,100.39124648444393,-39.7136627197267,3.0,-42.7136627197267,-0.9653260346599524,Trailing Stop,2,1379.4259656079716,11379.425965607972,2024-01
META,2024-01-02,2024-01-08,343.8878173828125,356.1720275878906,10,3438.878173828125,100.79717461476392,122.84210205078125,1.0,121.84210205078125,3.5721562626347625,Profit Target,6,1501.268067658753,11501.268067658753,2024-01
NVDA,2024-01-02,2024-01-08,48.141178131103516,52.22390365600586,64,3081.035400390625,103.88688494586944,261.29443359375,6.4,254.89443359375,8.480734546595015,Profit Target,6,1756.1625012525028,11756.162501252504,2024-01
MSFT,2024-01-04,2024-01-10,362.53466796875,377.1467590332031,15,5438.02001953125,102.0060410308838,219.18136596679688,1.5,217.68136596679688,4.03053620949505,Profit Target,6,1973.8438672192997,11973.8438672193,2024-01
GOOGL,2024-01-05,2024-01-09,134.712158203125,139.8929901123047,30,4041.36474609375,100.02106140753963,155.42495727539062,3.0,152.42495727539062,3.8458532461248307,Profit Target,4,2126.2688244946903,12126.268824494691,2024-01
AAPL,2024-01-29,2024-01-30,189.93626403808594,187.08722007751464,25,4748.406600952148,105.11728542723765,-71.22609901428234,2.5,-73.72609901428234,-1.5000000000000013,Trailing Stop,1,2052.542725480408,12052.542725480409,2024-01
GOOGL,2024-02-02,2024-02-09,141.31227111816406,147.8826446533203,22,3108.8699645996094,101.34207770392635,144.5482177734375,2.2,142.3482177734375,4.649542097913173,Profit Target,7,2194.8909432538458,12194.890943253846,2024-02
MSFT,2024-02-16,2024-03-05,398.8602600097656,404.00071990966796,10,3988.6026000976562,104.03773377990723,51.40459899902339,1.0,50.40459899902339,1.2887871806974482,Trailing Stop,18,2245.2955422528694,12245.295542252868,2024-02
AMZN,2024-02-20,2024-02-22,167.0800018310547,174.5800018310547,18,3007.4400329589844,101.63411667861939,135.0,1.8,133.2,4.488867559137177,Profit Target,2,2378.495542252869,12378.49554225287,2024-02
AMZN,2024-03-08,2024-03-11,175.35000610351562,172.7197560119629,24,4208.400146484375,102.74411667861939,-63.126002197265734,2.4000000000000004,-65.52600219726574,-1.5000000000000013,Trailing Stop,3,2312.9695400556034,12312.969540055603,2024-03
MSFT,2024-03-08,2024-03-14,400.9924621582031,419.7479553222656,12,4811.9095458984375,104.49137517089845,225.06591796875,1.2000000000000002,223.86591796875,4.677268261632039,Profit Target,6,2536.8354580243536,12536.835458024354,2024-03
META,2024-03-14,2024-03-15,488.9364929199219,481.60244552612306,6,2933.6189575195312,101.89375353322096,-44.00428436279287,0.6000000000000001,-44.604284362792875,-1.5000000000000013,Trailing Stop,1,2492.2311736615607,12492.231173661561,2024-03
META,2024-03-27,2024-03-28,490.95452880859375,483.5902108764648,5,2454.7726440429688,101.59639163746901,-36.821589660644634,0.5,-37.321589660644634,-1.5000000000000013,Trailing Stop,1,2454.909584000916,12454.909584000916,2024-03
MSFT,2024-03-27,2024-04-04,416.0067138671875,412.81975845336916,11,4576.0738525390625,106.3569244873047,-35.05650955200173,1.1,-36.15650955200173,-0.7660826875106164,Trailing Stop,8,2418.753074448914,12418.753074448914,2024-03
META,2024-04-01,2024-04-03,488.4592590332031,503.7587585449219,6,2930.7555541992188,101.29781892018386,91.7969970703125,0.6000000000000001,91.1969970703125,3.1321956189346745,Profit Target,2,2509.9500715192266,12509.950071519226,2024-04
NVDA,2024-04-01,2024-04-03,90.31692504882812,88.9621711730957,21,1896.6554260253906,106.19686575031281,-28.44983139038098,2.1,-30.54983139038098,-1.5000000000000013,Trailing Stop,2,2479.400240128846,12479.400240128845,2024-04
META,2024-04-12,2024-04-15,508.88836669921875,501.25504119873045,6,3053.3302001953125,102.05779389576979,-45.79995300292978,0.6000000000000001,-46.399953002929784,-1.5000000000000013,Trailing Stop,3,2433.000287125916,12433.000287125917,2024-04
META,2024-04-16,2024-04-19,496.8198547363281,491.36512176513673,5,2484.0992736816406,101.74846087575027,-27.27366485595695,0.5,-27.77366485595695,-1.097929746404025,Trailing Stop,3,2405.226622269959,12405.226622269958,2024-04
AMZN,2024-04-17,2024-04-19,181.27999877929688,175.60356739589147,21,3806.8799743652344,102.19806666030885,-119.20505905151342,2.1,-121.30505905151341,-3.13130594750074,Stop Loss,2,2283.9215632184455,12283.921563218446,2024-04
GOOGL,2024-04-18,2024-04-25,154.84007263183594,155.56762588500976,25,3871.0018157958984,102.50674494025449,18.18883132934559,2.5,15.68883132934559,0.4698740066492624,Trailing Stop,7,2299.610394547791,12299.610394547792,2024-04
AMZN,2024-05-15,2024-05-21,185.99000549316406,183.2001554107666,17,3161.830093383789,101.15830901129588,-47.427451400756894,1.7000000000000002,-49.1274514007569,-1.5000000000000013,Trailing Stop,6,2250.4829431470343,12250.482943147035,2024-05
AMZN,2024-05-22,2024-05-30,183.1300048828125,180.3830548095703,24,4395.1201171875,100.75372999976024,-65.92680175781288,2.4000000000000004,-68.32680175781289,-1.5000000000000124,Trailing Stop,8,2182.1561413892214,12182.156141389221,2024-05
GOOGL,2024-05-30,2024-06-12,170.8193359375,176.65924072265625,26,4441.302734375,102.63225559088926,151.8375244140625,2.6,149.2375244140625,3.418760969362955,Profit Target,13,2331.393665803284,12331.393665803284,2024-05
MSFT,2024-06-04,2024-06-11,411.4565124511719,427.8823547363281,11,4526.021636962891,106.02822894592286,180.68426513671875,1.1,179.58426513671876,3.9921211083286723,Profit Target,7,2510.977930940003,12510.977930940004,2024-06
AMZN,2024-06-17,2024-06-24,184.05999755859375,186.24380180358887,24,4417.43994140625,100.1843399851118,52.411301879882785,2.4000000000000004,50.01130187988279,1.1864632586990664,Trailing Stop,7,2560.9892328198857,12560.989232819886,2024-06
META,2024-06-21,2024-06-25,492.3574523925781,508.10003662109375,8,3938.859619140625,101.52627155690261,125.940673828125,0.8,125.140673828125,3.197389244748017,Profit Target,4,2686.1299066480105,12686.12990664801,2024-06
AMZN,2024-07-11,2024-07-17,195.0500030517578,188.146787915911,18,3510.9000549316406,100.58026279166089,-124.25787244524253,1.8,-126.05787244524252,-3.5392027827935935,Stop Loss,6,2560.072034202768,12560.072034202767,2024-07
MSFT,2024-07-12,2024-07-17,448.5209045410156,442.19249572753904,11,4933.729949951172,107.49755475158692,-69.61249694824244,1.1,-70.71249694824243,-1.4109506935808591,Trailing Stop,5,2489.3595372545255,12489.359537254526,2024-07
GOOGL,2024-07-12,2024-07-17,183.89297485351562,182.56351860046385,26,4781.217346191406,103.89503464362362,-34.56586257934612,2.6,-37.16586257934612,-0.722951082884371,Trailing Stop,5,2452.1936746751794,12452.19367467518,2024-07
NVDA,2024-07-16,2024-07-17,126.30593872070312,118.79951029818172,16,2020.89501953125,105.93501005268098,-120.10285476034255,1.6,-121.70285476034255,-5.943052637548718,Stop Loss,1,2330.4908199148367,12330.490819914838,2024-07
AAPL,2024-07-19,2024-07-24,222.79676818847656,220.13966941833496,15,3341.9515228271484,104.46849575591196,-39.85648155212402,1.5,-41.35648155212402,-1.1926110022806968,Trailing Stop,5,2289.1343383627127,12289.134338362714,2024-07
GOOGL,2024-07-22,2024-07-24,180.5145721435547,174.66026261510004,21,3790.8060150146484,103.59484883048276,-122.94050009754764,2.1,-125.04050009754764,-3.2431229561893704,Stop Loss,2,2164.0938382651652,12164.093838265166,2024-07
META,2024-08-26,2024-09-03,518.5685424804688,510.97620483398435,6,3111.4112548828125,102.46482661061354,-45.55402587890637,0.6000000000000001,-46.154025878906374,-1.4640952978304367,Trailing Stop,8,2117.939812386259,12117.93981238626,2024-08
